Timestep,Susecptible,Infected,Recovered,Deceased
0.1,98.901,1.084,0.01,0.005
0.2,98.7938,1.17495,0.02084,0.01042
0.3,98.6777,1.2734,0.0325895,0.0162947
0.4,98.5521,1.37996,0.0453235,0.0226618
0.5,98.4161,1.49526,0.0591231,0.0295615
0.6,98.2689,1.61998,0.0740756,0.0370378
0.7,98.1097,1.75488,0.0902755,0.0451377
0.8,97.9375,1.90073,0.107824,0.0539121
0.9,97.7514,2.05837,0.126832,0.0634158
1,97.5502,2.2287,0.147415,0.0737076
1.1,97.3328,2.41268,0.169702,0.0848511
1.2,97.0979,2.61132,0.193829,0.0969145
1.3,96.8444,2.82571,0.219942,0.109971
1.4,96.5707,3.05697,0.248199,0.1241
1.5,96.2755,3.30633,0.278769,0.139385
1.6,95.9572,3.57506,0.311832,0.155916
1.7,95.6141,3.86448,0.347583,0.173791
1.8,95.2446,4.17602,0.386228,0.193114
1.9,94.8469,4.51112,0.427988,0.213994
2,94.419,4.87132,0.473099,0.23655
2.1,93.9591,5.25819,0.521812,0.260906
2.2,93.465,5.67338,0.574394,0.287197
2.3,92.9348,6.11854,0.631128,0.315564
2.4,92.3661,6.59539,0.692313,0.346157
2.5,91.757,7.10564,0.758267,0.379134
2.6,91.105,7.65105,0.829324,0.414662
2.7,90.4079,8.23334,0.905834,0.452917
2.8,89.6636,8.85419,0.988168,0.494084
2.9,88.8697,9.51528,1.07671,0.538355
3,88.024,10.2182,1.17186,0.585931
3.1,87.1246,10.9643,1.27404,0.637022
3.2,86.1693,11.7551,1.38369,0.691844
3.3,85.1564,12.5917,1.50124,0.750619
3.4,84.0841,13.4751,1.62716,0.813578
3.5,82.9511,14.4061,1.76191,0.880954
3.6,81.7561,15.385,1.90597,0.952984
3.7,80.4983,16.412,2.05982,1.02991
3.8,79.1771,17.487,2.22394,1.11197
3.9,77.7926,18.6092,2.39881,1.1994
4,76.3449,19.7777,2.5849,1.29245
4.1,74.835,20.991,2.78268,1.39134
4.2,73.2641,22.247,2.99259,1.49629
4.3,71.6342,23.5432,3.21506,1.60753
4.4,69.9477,24.8766,3.45049,1.72524
4.5,68.2076,26.2435,3.69926,1.84963
4.6,66.4176,27.6398,3.96169,1.98084
4.7,64.5819,29.061,4.23809,2.11904
4.8,62.7051,30.5019,4.5287,2.26435
4.9,60.7924,31.957,4.83372,2.41686
5,58.8497,33.4204,5.15329,2.57664
5.1,56.8829,34.8859,5.48749,2.74375
5.2,54.8985,36.347,5.83635,2.91817
5.3,52.9031,37.7972,6.19982,3.09991
5.4,50.9035,39.2298,6.57779,3.2889
5.5,48.9066,40.6383,6.97009,3.48504
5.6,46.9191,42.0162,7.37647,3.68824
5.7,44.9477,43.3573,7.79663,3.89832
5.8,42.9989,44.6558,8.23021,4.1151
5.9,41.0788,45.9061,8.67676,4.33838
6,39.193,47.1032,9.13582,4.56791
6.1,37.3469,48.2428,9.60686,4.80343
6.2,35.5452,49.3209,10.0893,5.04464
6.3,33.7921,50.3342,10.5825,5.29125
6.4,32.0912,51.2801,11.0858,5.54292
6.5,30.4455,52.1565,11.5986,5.79932
6.6,28.8576,52.9621,12.1202,6.0601
6.7,27.3292,53.696,12.6498,6.32491
6.8,25.8618,54.3581,13.1868,6.59339
6.9,24.456,54.9485,13.7304,6.86518
7,23.1121,55.4681,14.2798,7.13992
7.1,21.8302,55.918,14.8345,7.41726
7.2,20.6095,56.3,15.3937,7.69685
7.3,19.4492,56.6158,15.9567,7.97835
7.4,18.348,56.8677,16.5229,8.26143
7.5,17.3046,57.0581,17.0915,8.54577
7.6,16.3172,57.1896,17.6621,8.83106
7.7,15.3841,57.2649,18.234,9.11701
7.79999,14.5031,57.2869,18.8067,9.40333
7.89999,13.6723,57.2584,19.3795,9.68977
7.99999,12.8894,57.1824,19.9521,9.97606
8.09999,12.1524,57.0617,20.5239,10.262
8.2,11.4589,56.8992,21.0946,10.5473
8.3,10.8069,56.6977,21.6636,10.8318
8.4,10.1942,56.46,22.2305,11.1153
8.5,9.61863,56.1887,22.7951,11.3976
8.6,9.07817,55.8863,23.357,11.6785
8.7,8.57083,55.5553,23.9159,11.9579
8.8,8.09467,55.1982,24.4714,12.2357
8.9,7.64786,54.817,25.0234,12.5117
9,7.22863,54.414,25.5716,12.7858
9.1,6.83529,53.9911,26.1157,13.0579
9.2,6.46625,53.5503,26.6556,13.3278
9.3,6.11998,53.0933,27.1911,13.5956
9.4,5.79505,52.6218,27.7221,13.861
9.5,5.4901,52.1375,28.2483,14.1241
9.6,5.20386,51.6416,28.7697,14.3848
9.7,4.93512,51.1357,29.2861,14.643
9.8,4.68276,50.6211,29.7974,14.8987
9.9,4.44572,50.0988,30.3037,15.1518
10,4.22299,49.57,30.8046,15.4023
10.1,4.01366,49.0358,31.3003,15.6502
10.2,3.81684,48.4971,31.7907,15.8953
10.3,3.63174,47.9548,32.2757,16.1378
10.4,3.45758,47.4096,32.7552,16.3776
10.5,3.29366,46.8624,33.2293,16.6147
10.6,3.13931,46.3138,33.6979,16.849
10.7,2.99392,45.7645,34.1611,17.0805
10.8,2.8569,45.215,34.6187,17.3094
10.9,2.72773,44.666,35.0709,17.5354
